iter	Passed	Remaining
380	794	1290
381	796	1288
382	798	1285
383	799	1282
384	801	1279
385	802	1276
386	803	1273
387	805	1270
388	807	1267
389	808	1265
390	810	1262
391	812	1259
392	813	1256
393	814	1253
394	816	1250
395	817	1247
396	819	1244
397	820	1241
398	822	1238
399	823	1235
400	825	1232
401	826	1230
402	828	1227
403	830	1224
404	831	1222
405	833	1219
406	835	1216
407	836	1213
408	838	1211
409	839	1207
410	840	1204
411	842	1202
412	843	1199
413	845	1196
414	846	1193
415	847	1190
416	849	1187
417	850	1184
418	852	1182
419	854	1179
420	856	1177
421	857	1174
422	859	1171
423	860	1168
424	861	1165
425	863	1163
426	864	1160
427	866	1157
428	867	1155
429	869	1152
430	871	1150
431	872	1147
432	874	1144
433	875	1141
434	876	1139
435	878	1136
436	879	1133
437	881	1131
438	882	1127
439	883	1125
440	885	1122
441	886	1119
442	887	1116
443	889	1113
444	890	1110
445	891	1107
446	892	1104
447	894	1101
448	895	1098
449	896	1095
450	897	1092
451	899	1090
452	900	1087
453	901	1084
454	902	1081
