iter	Passed	Remaining
806	1530	366
807	1532	364
808	1533	362
809	1534	360
810	1536	358
811	1537	356
812	1539	354
813	1540	352
814	1541	350
815	1543	348
816	1545	346
817	1546	344
818	1548	342
819	1549	340
820	1551	338
821	1553	336
822	1554	334
823	1556	332
824	1557	330
825	1559	328
826	1561	326
827	1563	324
828	1564	322
829	1566	320
830	1567	318
831	1568	316
832	1570	314
833	1571	312
834	1573	310
835	1575	309
836	1576	307
837	1578	305
838	1579	303
839	1581	301
840	1582	299
841	1584	297
842	1585	295
843	1586	293
844	1588	291
845	1590	289
846	1591	287
847	1592	285
848	1594	283
849	1595	281
850	1597	279
851	1598	277
852	1599	275
853	1601	273
854	1603	271
855	1604	269
856	1606	268
857	1607	266
858	1609	264
859	1610	262
860	1612	260
861	1613	258
862	1615	256
863	1616	254
864	1619	252
865	1620	250
866	1622	248
867	1623	246
868	1625	244
869	1626	243
870	1628	241
871	1629	239
872	1630	237
873	1632	235
874	1634	233
875	1636	231
876	1637	229
877	1639	227
878	1640	225
879	1642	223
880	1643	222
881	1645	220
882	1646	218
883	1648	216
884	1649	214
885	1651	212
886	1652	210
887	1654	208
888	1655	206
889	1657	204
890	1658	202
891	1660	201
892	1661	199
893	1663	197
894	1665	195
895	1666	193
896	1667	191
897	1669	189
898	1670	187
899	1671	185
900	1673	183
901	1674	181
902	1676	180
903	1678	178
904	1680	176
905	1681	174
906	1683	172
907	1684	170
908	1686	168
909	1687	166
910	1688	164
911	1690	163
912	1691	161
913	1693	159
914	1695	157
915	1696	155
916	1698	153
917	1699	151
918	1700	149
919	1702	148
920	1703	146
921	1704	144
922	1706	142
923	1707	140
924	1709	138
925	1710	136
926	1712	134
927	1713	132
928	1715	131
929	1716	129
930	1718	127
931	1719	125
932	1721	123
933	1722	121
934	1724	119
935	1726	118
936	1728	116
937	1729	114
938	1730	112
939	1732	110
940	1733	108
941	1735	106
942	1737	105
943	1739	103
944	1740	101
945	1742	99
946	1743	97
947	1745	95
948	1747	93
949	1749	92
950	1751	90
951	1753	88
952	1755	86
953	1757	84
954	1759	82
955	1761	81
956	1763	79
957	1764	77
958	1766	75
959	1769	73
960	1771	71
961	1772	70
962	1774	68
963	1776	66
964	1778	64
965	1779	62
966	1781	60
967	1783	58
968	1785	57
969	1787	55
970	1789	53
971	1790	51
972	1792	49
973	1794	47
974	1796	46
975	1798	44
976	1800	42
977	1802	40
978	1804	38
979	1806	36
980	1808	35
981	1810	33
982	1813	31
983	1815	29
984	1817	27
985	1818	25
986	1820	23
987	1822	22
988	1823	20
989	1825	18
990	1826	16
991	1828	14
992	1830	12
993	1832	11
994	1834	9
995	1836	7
996	1838	5
997	1839	3
998	1841	1
999	1843	0
